IncidentKey,Offense,Latitude,Longitude,Cluster,Score,Hour,Minute,Day,Month,Year
91,Driving Under the Influence,38.059631,-78.493202,2,39.37584991792697,19,55,09,03,2023
92,Larceny - From Motor Vehicle,38.02801,-78.484389,52,45.32394487827058,19,50,09,03,2023
93,Harassment,38.03383535,-78.48239896185194,61,49.74280668117561,14,04,08,03,2023
94,Larceny - From Motor Vehicle,38.0239967,-78.48800635284567,41,20.68551264739651,12,17,08,03,2023
95,Assault Simple,38.034984,-78.461602,22,39.00350229189195,09,59,08,03,2023
96,Assault Aggravated,38.031655,-78.490994,12,46.783024077951374,19,59,08,03,2023
97,Assault Simple,38.0389241,-78.48681954126344,7,37.73303578736149,16,51,07,03,2023
98,Larceny - From Motor Vehicle,38.02235,-78.469476,64,65.59648365868483,15,55,07,03,2023
99,Assault Simple,38.011214,-78.518386,57,39.64862909245788,13,19,07,03,2023
100,Hit and Run,38.065002,-78.486684,19,25.47781829793444,12,07,07,03,2023
101,Assault Intimidation,38.015732,-78.481043,68,54.91661978556045,11,17,07,03,2023
102,Larceny - Theft from Building,38.04883025,-78.49440952675508,71,58.93245205863366,08,46,07,03,2023
103,Burglary,38.04550935,-78.48807868777595,23,38.770147977846136,22,20,07,03,2023
104,Assault Simple,38.017579,-78.496797,31,44.31340579927393,18,07,06,03,2023
105,Burglary,38.04550935,-78.48807868777595,23,38.770147977846136,15,15,06,03,2023
106,Motor Vehicle Theft,38.051824739586,-78.49808141273697,9,49.76487094809882,14,44,06,03,2023
107,Disorderly Conduct,38.02463865,-78.49439386969078,73,38.7509570575753,14,42,06,03,2023
108,Larceny - From Motor Vehicle,38.0386032,-78.4868737,7,37.73303578736149,13,26,06,03,2023
109,Drug Investigation,38.036392,-78.499236,26,64.77464829275686,13,12,06,03,2023
110,Larceny - From Motor Vehicle,38.04036160404488,-78.47920247078642,21,47.91308112764411,11,22,06,03,2023
111,Larceny - All Other,38.0177451,-78.46981302037882,24,55.29618666837476,09,15,06,03,2023
112,Burglary,38.04550935,-78.48807868777595,23,38.770147977846136,08,50,06,03,2023
113,Vandalism,38.020667,-78.504204,58,49.77464829275686,21,39,06,03,2023
114,Larceny - Theft from Building,38.0272458,-78.472382,15,32.843055466806334,17,58,05,03,2023
115,Assault Intimidation,38.022322,-78.469527,64,65.59648365868483,16,08,05,03,2023
116,Vandalism,38.052558,-78.472869,11,90.23196915419308,13,49,05,03,2023
117,Vandalism,38.022322,-78.469527,64,65.59648365868483,12,26,05,03,2023
118,Shots Fired/Illegal Hunting,38.04512025,-78.48403202390492,72,42.043546705922445,11,43,05,03,2023
119,Vandalism,38.0157156,-78.51148954333772,33,50.36761315266413,21,50,05,03,2023
120,Disorderly Conduct,38.023824,-78.468837,64,65.59648365868483,21,24,05,03,2023
121,Larceny - All Other,38.0316444,-78.481579,74,59.85796743051306,20,28,05,03,2023
122,Hit and Run,38.024232,-78.498887,3,75.22153496527822,12,41,04,03,2023
123,Bomb Threat,38.04293915,-78.4989235528601,20,43.053130952674415,11,05,04,03,2023
124,Misc - Criminal Call,38.01623875,-78.51382805921395,33,50.36761315266413,18,56,03,03,2023
125,Vandalism,38.056622,-78.485682,30,19.8975963534891,16,20,03,03,2023
126,Assault Simple,38.03822757897203,-78.49728761182824,1,54.87468559412127,15,16,03,03,2023
127,Larceny - Theft from Building,38.034043,-78.499815,42,38.79853973946922,14,00,03,03,2023
128,Harassment,38.04954145,-78.482732075,45,32.897064416738985,11,07,03,03,2023
129,Misc - Criminal Call,38.060044,-78.496739,54,65.84474103374922,09,04,03,03,2023
130,Vandalism,38.05768605,-78.4913460269631,48,69.98581893263282,07,47,03,03,2023
131,Driving Under the Influence,38.031964,-78.466894,13,69.67529530397307,23,45,03,03,2023
132,Larceny - From Motor Vehicle,38.051108,-78.504188,56,74.54929658551373,20,22,03,03,2023
133,Misc - Criminal Call,38.02035435,-78.51447020491433,5,59.07676890468994,19,46,03,03,2023
134,Harassment,38.034984,-78.461602,22,39.00350229189195,18,35,02,03,2023
135,Burglary,38.036473,-78.489967,43,44.74497089752567,17,08,02,03,2023
136,Misc - Criminal Call,38.029354,-78.491726,34,38.724456410567214,15,03,02,03,2023
137,Hit and Run,38.02107105,-78.48127849490024,8,44.41680250776333,14,52,02,03,2023
138,Assault Simple,38.03861469889392,-78.4850579571065,7,37.73303578736149,12,57,02,03,2023
139,Assault Simple,38.055399,-78.501326,28,46.8032828919381,11,24,02,03,2023
140,Larceny - Of Veh Parts/Access,38.03636765,-78.4826995,44,45.06626583083122,10,51,02,03,2023
141,Larceny - All Other,38.034043,-78.499815,42,38.79853973946922,05,03,02,03,2023
142,Hit and Run,38.0171231,-78.48622295122095,67,38.63972356627127,17,30,01,03,2023
143,Larceny - Pocket Picking,38.03698165,-78.48948268727145,43,44.74497089752567,13,17,01,03,2023
144,Larceny - Theft from Building,38.03698165,-78.48948268727145,43,44.74497089752567,13,00,01,03,2023
145,Larceny - Theft from Building,38.059631,-78.493202,2,39.37584991792697,10,57,01,03,2023
146,Larceny - Theft from Building,38.0243151,-78.50470960725025,58,49.77464829275686,10,31,01,03,2023
147,Assault Simple,38.0299348,-78.4800205968188,4,52.85000143483159,23,25,01,03,2023
148,Hit and Run,38.014199,-78.500077,10,65.22756754965607,20,32,01,03,2023
149,Assault Simple,38.027986,-78.489428,34,38.724456410567214,18,39,28,02,2023
150,Hit and Run,38.031655,-78.490994,12,46.783024077951374,17,07,28,02,2023
151,Driving Under the Influence,38.052826,-78.498797,9,49.76487094809882,15,01,28,02,2023
152,Hit and Run,38.032683,-78.494611,35,48.97695789545851,12,37,28,02,2023
153,Harassment,38.031964,-78.466894,13,69.67529530397307,11,44,28,02,2023
154,Assault Aggravated,38.033312,-78.490383,12,46.783024077951374,11,07,28,02,2023
155,Larceny - All Other,38.035979,-78.464484,22,39.00350229189195,08,55,28,02,2023
156,Misc - Criminal Call,38.055399,-78.501326,28,46.8032828919381,15,07,27,02,2023
157,Hit and Run,38.0316444,-78.481579,74,59.85796743051306,13,03,27,02,2023
158,Death Investigation - DOA,38.0130724,-78.51446709921615,33,50.36761315266413,12,48,27,02,2023
159,Assault Intimidation,38.032166,-78.478061,53,52.3367096449612,12,35,27,02,2023
160,Harassment,38.0281241,-78.50777855098642,62,45.73416393480868,12,26,27,02,2023
161,Larceny - Theft from Building,38.03708,-78.47734,39,24.03629965254518,09,57,27,02,2023
162,Larceny - Theft from Building,38.04497716568047,-78.49785941617357,20,43.053130952674415,08,59,27,02,2023
163,Assault Simple,38.0316444,-78.481579,74,59.85796743051306,08,46,27,02,2023
164,Larceny - Theft from Building,38.059631,-78.493202,2,39.37584991792697,16,41,26,02,2023
165,Larceny - Theft from Building,38.059631,-78.493202,2,39.37584991792697,15,49,26,02,2023
166,Larceny - All Other,38.060096,-78.496285,54,65.84474103374922,14,47,26,02,2023
167,Hit and Run,38.034065,-78.493871,69,42.53101394594943,11,41,26,02,2023
